shapeIndex,leftShoulder,leftElbow,rightShoulder,rightElbow,mid,rightHip,leftHip,rightKnee,leftKnee,score
1,128,115.0,131.0,128.0,20.0,160.0,162.0,162.0,162,90.29
1,156,101.0,143.0,115.0,20.0,173.0,175.0,175.0,177,91.17
1,63,62.0,156.0,105.0,23.0,174.0,166.0,176.0,174,84.73
1,153,175.0,152.0,159.0,23.0,161.0,159.0,174.0,175,78.28999999999999
1,102,74.76923076923077,112.92307692307692,68.71794871794872,25.0,179.0,178.0,173.0,175,88.71102564102564
1,153,52.0,127.0,103.0,22.0,177.0,179.0,179.0,176,88.33
1,100,105.0,111.0,68.71794871794872,24.0,179.0,176.0,178.0,177,90.28179487179487
1,118,144.0,110.0,137.0,24.0,165.0,162.0,178.0,168,87.87
1,143,126.0,153.0,102.0,4.0,159.0,149.0,176.0,173,87.17
1,128,126.0,125.0,133.0,23.0,172.0,165.0,171.0,170,91.93
2,139,84.0,125.0,105.0,29.0,161.0,134.0,152.0,150,89.14
2,140,168.0,113.0,29.0,18.0,178.0,136.0,113.0,173,74.88
2,126,125.0,133.0,98.0,22.0,153.0,163.0,177.0,165,91.02
2,110,160.0,112.0,158.0,19.0,160.0,118.0,172.0,156,77.56
2,126,27.0,108.0,40.0,21.0,115.0,173.0,147.0,176,78.53999999999999
2,137,93.0,136.0,108.0,26.0,164.0,120.0,144.0,159,87.25999999999999
2,107,19.0,107.0,6.0,18.0,141.0,177.0,174.0,156,75.2
2,106,146.0,132.0,104.0,19.0,133.0,176.0,143.0,106,80.06
2,118,112.0,127.0,88.0,23.0,157.0,178.0,173.0,173,90.9
2,142,93.0,127.0,90.0,20.0,139.0,171.0,165.0,162,91.86
3,145,12.0,112.0,41.0,25.0,151.0,138.0,135.0,124,87.71428571428572
3,83,74.76923076923077,112.92307692307692,68.71794871794872,23.0,139.0,138.0,116.0,122,80.41611721611721
3,117,34.0,107.0,54.0,39.0,170.0,172.0,123.0,122,82.27142857142857
3,155,1.0,107.0,149.0,21.0,141.0,145.0,129.0,138,74.41428571428571
3,121,25.0,122.0,10.0,45.0,142.84615384615384,137.10256410256412,132.87179487179486,130,83.77509157509158
3,165,74.76923076923077,128.0,20.0,22.0,143.0,137.0,126.0,128,80.49450549450549
3,171,129.0,90.0,1.0,25.0,152.0,141.0,143.0,137,71.77142857142857
4,127,47.0,130.0,45.0,25.974358974358974,142.84615384615384,137.10256410256412,132.87179487179486,130,79.58205128205128
4,110,142.0,112.0,163.0,55.0,155.0,149.0,132.87179487179486,130,60.79615384615386
4,97,37.0,97.0,27.0,28.0,96.0,126.0,78.0,130,82.33333333333333
4,108,47.0,119.0,26.0,29.0,175.0,162.0,163.0,174,67.86666666666667
4,103,31.0,111.0,27.0,42.0,124.0,137.10256410256412,96.0,130,85.47307692307692
4,97,37.0,98.0,43.0,36.0,114.0,129.0,97.0,166,83.01666666666667
4,101,34.0,95.0,41.0,43.0,142.0,136.0,129.0,164,77.21666666666667
4,94,128.0,98.0,47.0,29.0,95.0,113.0,75.0,149,78.15
4,110,44.0,122.0,41.0,28.0,144.0,137.10256410256412,121.0,130,82.65641025641025
4,99,121.0,110.0,123.0,42.0,154.0,152.0,109.0,174,66.2
4,104,16.0,103.0,1.0,33.0,172.0,151.0,156.0,176,65.11666666666667
4,103,1.0,117.0,16.0,26.0,106.0,145.0,87.0,130,78.5
